o	autorização/letra/caractér/carácter
análise	investigação/raciocínio/argumentação/calculo/cálculo
droga	agente
revista	produção/imprensa/jornalismo/jornal/periódico/produto/publicação/edição
ministério	prédio/edifício
artigo	parte/notícia/não-ficção/produto/mercadoria/fazenda/bem/utensílio/artefato/informação/capítulo
sede	desejo/escritório
pressão	urgência/impulso/sensação/poder/força/robustez/vigor/impulsão/empurrão
saída	partida/abertura
importância	significado/magnitude/preço/significação/qualidade
transporte	movimento/comércio/empresa/negócio
objetivo	propósito/finalidade/intento/objectivo/intenção/meta/alvo
emprego	discurso/condição/hábito/língua/idioma/linguagem/função/profissão/lugar/ofício/trabalho/serviço/estado/situação/ocupação/costume/atividade
regresso	chegada/vinda/deslocamento/movimento/traslado
recuperação	memória/salvamento/progresso/feito/ato/ação/acção/melhoria/salvação
favor	handicap/bondade/amabilidade/delicadeza/gentileza/benefício/lucro/utilidade/vantagem
doença	estado/situação/condição/enfermidade/bagunça/transtorno/distúrbio
4	dígito/número/algarismo
ar	gás/estado/situação/condição/região
equipamento	mobilização/ferramenta/produto/utensílio/artefato
conhecimento	consciência/habilidade/noção/cognição/compreensão/informação
actor	intérprete
entrevista	conferência/interrogatório
alguém	causador/criatura/organismo/ser
idade	século/era/etapa/tempo/época/período/atributo
industrial	empresário/negociante/comerciante
escolha	ação/ato/atividade/selecção/seleção
tentativa	esforço/tarefa/projeto/ocupação/atividade
pagamento	mercantilismo/comercialismo/comércio/preço/custo
crítico	avaliador/julgador
tocar	toque
motivo	tema/ornamento/toada/opinião/melodia/ideia/conceito/pensamento/idéia
estatuto	regra/ato/prescrição/norma
artista	intérprete/alma/indivíduo/alguém/pessoa/creador/criador
índice	tabela/lista/listagem/fato
personagem	adulto/caracterização
combate	pugilismo/torneio/concurso/certame/jogo/partida/competição/pugna/peleja/disputa/boxe/batalha/luta/conflito
tratamento	estilo/gestão/cuidado/administração
fogo	lareira/combustão/chaminé/incêndio/ocorrência/evento/acontecimento
fogo	criticismo/julgamento
corrida	locomoção/torneio/concurso/certame/jogo/partida/competição
verba	ideia/plano/intenção/projecto/programa/programação/traçado/projeto/concepção
comunicado	acção/ação/ato/feito
morto	natureza
adversário	contendor/alma/indivíduo/alguém/pessoa
inquérito	questionamento/pergunta/questão/solicitação/requerimento/petição/requisição/pedido/apelo/pesquisa/investigação
marca	defeito/símbolo/simbolo/aceno/emblema/presságio/indício/agouro/indicação/sinal/selo
dimensão	número/grandeza/magnitude
argumento	resumo/evidência/indicação/história/estória/conto/sumário
referência	publicação/sentido/apontamento/anotação/nota/comentário/observação/edição/significado/intenção
rio	córrego
pé	perna/traseiro/base/apoio/suporte/encosto/fundo/métrica
tendência	curso/afeição/rumo/direcção/direção/atributo/atitude
margem	ladeira/fronteira/formação/encosta/declive/subida/costa/aba/limite/borda
página	folha
mar	oceano/água
espera	ociosidade
missão	manobra/tarefa/ong/operação/organização/designação/trabalho
cenário	cenografia/pressuposto/meio/ambiente
fronteira	deserto/extensão/alcance/lugar/ponto/localização/extremidade/mato/limite/borda
bolsa	ajuda/saco/carteira/sacola/continente/contentor/caixa/jarro/vaso/vasilha
posto	instalação/infra-estrutura/status/classe/condição/estado/função/emprego/profissão/ofício/ocupação/trabalho/serviço/hierarquia/posição/local/lugar/estação
metade	componente
dívida	obrigação
ponte	edifício/tecido/estrutura
aplicação	uso/programa/utilização/remédio
rádio	metal/radiorreceptor/receptor/broadcast
perguntar	inquérito/pergunta/questão
democracia	ideologia/doutrina/filosofia
volume	livro/quantia/quantidade/número/medida/abstração/grandeza/magnitude
treinador	líder/chefe/técnico
moeda	peça/dinheiro/cobre/divisa/prata
procura	buscar/ocupação/atividade/procurar/aquisição/compra
acontecimento	ocorrência/evento/fato
freguesia	gente/povo/população
senhor	governador/título/cavalheiro/varão/macho/homem/governante
peso	medição/unidade/medida
ilha	zona/relevo/solo/chão/terra
memória	reminiscência/hardware/faculdade/talento
palco	tablado
comportamento	ação/ocupação/peculiaridade/feição/actividade/atividade
parque	cercado/pátio/jardim/quintal/terreno/região/extensão
accionista	investidor
cima	área/região
funcionamento	ação/actividade/atividade
violência	turbulência/hostilidade/agressão/intensidade
referendo	votação
queda	gravitação/gravidade/conclusão/término/fim/cabo/rebaixamento/descida
língua	aba/faculdade/órgão/mensagem/comunicação/talento/discurso/idioma/linguagem
domínio	união/superioridade/conjunto/autorização/nome/prenome/estado/situação/condição/república/nação/país/ambiente/região/esfera/saber/conhecimento
apresentação	proposição/começo/demonstração/exibição/diversão/divertimento/entretenimento/figura/ilustração/desenho/imagem/representação/informação/início
perspectiva	orientação/semblante/aparência/aspecto
sindicato	associação/união/ordem/sociedade/organização
protesto	força/objeção/violência/resistência
fiscal	burocrata
universidade	comunidade/grupo
erro	mal/mal-entendido/opinião/ideia/conceito/pensamento/idéia/imperfeição/defeito/insucesso/fracasso/maldade/equívoco/falha/engano
gabinete	quarto/câmara/aposento/sala
investidor	capitalista
manifestação	presságio/reunião/protesto/demo/indício/agouro/indicação/sinal/demonstração
estabelecimento	início/começo
ausência	tempo/convulsão/falta/escassez/deficiência/intervalo/carência/necessidade
bola	brinquedo/produto/utensílio/artefato/aglomeração/orbe/esfera
diálogo	guião/conversa/script/roteiro
propósito	utilidade/objectivo/intenção/meta/alvo
mãe	progenitora/inspiração/iniciador/progenitor/abadessa/pai/idealizador/fundador
diário	folha/jornal/livro
compra	aquisição
advogado	alma/indivíduo/alguém/pessoa/jurista
cena	ambiente/região/território
mandato	delegação
distrito	região
mesa	alimento/alfaia/patamar/planalto/mobiliário/movéis/mobília/móvel/dieta
limite	inspeção/limitação/extensão/teste/alcance/inspecção/extremidade/fronteira/borda
utilização	uso/ocupação/atividade
cliente	comprador/consumidor/freguês
consumo	pedido/abatimento/depleção/diminuição/demanda
banda	decoração/gama/anatomia/laço/produto/utensílio/artefato/ornamento/seleção/selecção
6	dígito/número/algarismo
tradição	hábito/costume
avião	mulher/navio
expectativa	esperança/convicção/religião/opinião/fé/crença
japonês	asiático/asiática
exercício	lição/treino/ano/preparação
máquina	maquinaria/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/motor/alma/indivíduo/alguém/pessoa
constituição	lei/início/começo/atributo
receita	ingresso/instrução/provento/renda/rendimento
atraso	adiamento/ociosidade/pausa/demora/retardar/adiar/estupidez
igual	alma/indivíduo/alguém/pessoa
bairro	cercania/proximidade/vizinho/anexo/comunidade/vizinhança/terra/domínio/território/circunscrição/país/distrito/condado/comarca
visar	orientação
habitante	alma/indivíduo/alguém/pessoa
chinês	mídia/asiático/asiática
organismo	sistema/ser/organização/todo/unidade
comércio	empresa/companhia/mercantilismo/comercialismo/transação
nota	apontamento/aviso/anúncio/declaração/descrição/factura/conta/avaliação/comentário/anotação
expressão	aparência/comunicação/comunicado/idioma/rosto/semblante
derrota	chegada/decepção/desapontamento/resultado/fim/conclusão/erro/fracasso/falha
esquerda	mão/seita/posição/facção/local/lugar
porta-voz	advogado/defensor/proponente/representante
fotografia	função/emprego/profissão/lugar/ofício/ocupação/trabalho/serviço/foto/figura/ilustração/desenho/imagem/representação/retrato
cor	naipe/semblante/aparência/aspecto/capa/colorante/tinta/emblema
israelita	asiático/asiática
esperança	alma/expectativa/sentimento/emoção/impressão/estado/situação/condição/indivíduo/alguém/pessoa
destino	causador/objectivo/traseiro/estado/acontecimento/evento/ocorrência/instrução/intenção/meta/alvo
subida	ladeira/formação/encosta/declive/costa
perigo	causador/ameaça/estado/situação/condição/risco
piloto	piloto-aviador/joão/jacó/navegante/jack/marinheiro/aeronauta/aviadora/aviador
seguro	pagamento/abrigo/recompensa/ativo/proteção
finança	gestão/comércio/empresa/negócio/administração
confiança	convicção/esperança/segurança/dependência/certeza/religião/opinião/fé/crença
compromisso	troca/cooperação/colaboração/câmbio/festa/encontro/reunião/declaração/descrição
especialista	intelectual/intelecto
classe	ordem/elegância/jogo/quarto/reunião/ideia/status/raça/gente/povo/população/avaliação/câmara/aposento/sala/montão/colecção/ruma/chusma/coleção/grupo/aglomeração/hierarquia/posição/posto/idéia/concepção/conceito/liga/légua/família/condição/estado/situação/tipo/género/categoria/arranjo
factor	número
cooperação	colaboração/hábito/costume
indivíduo	causador/criatura/organismo/ser
audiência	oportunidade/conferência/povo/gente/massa/chance
lançamento	começo/propulsão/início/impulsão
familiar	alma/espírito/fantasma
delegação	nomeação/condição/designação/autorização/organização/estado/situação
percurso	fronteira
campeão	desafiante/concorrente/adversário/inimigo/contendor/rival/competidor/opositor
financiamento	finança
computador	maquinaria/máquina
desemprego	condição/estado/situação
ciclo	repetição/tempo/programa/intervalo
pergunta	inquérito/oração/sentença/frase/questão/solicitação/requerimento/petição/requisição/pedido/apelo
garantia	descrição/declaração
verão	época/período/tempo/estação
ritmo	clichê/modelo/prosódia/molde/gabarito/tacto/velocidade
proprietário	dono/propriedade/possessão/alma/indivíduo/alguém/pessoa/empresário/negociante/comerciante
natureza	causador/mundo/peculiaridade/qualidade/cosmo/criação/universo/todo/unidade/feição
feminino	gênero
habitação	acção/ação/ato/feito/quarto/câmara/sala/locação/lar/aposento/moradia/residência/morada/domicílio/prédio/edifício/casa/abrigo/alojamento
excepção	objeção/exemplo/omissão
palestiniano	árabe/arábico
físico	cientista
animal	criatura/organismo/ser
fábrica	usina
veículo	mídia/equipamento
escritor	fazedor/autor/comunicador
corrente	eletricidade/ligamento/ação/electricidade/fluxo/córrego/ato/atividade
revisão	prática/inspecionar/examinar/exercício
espírito	emoção/abalo/comoção/sentimento/alma
álbum	mídia/produção/livro/produto
habitual	comprador/cliente/consumidor/freguês
resolução	achado/documentação/decisão/juízo/opinião/ideia/documento/firmeza/selecção/escolha/seleção
vencedor	combatente/contendor/alma/jogador/indivíduo/alguém/pessoa/apostador/lutador/guerreiro/lutadora
alvo	referência
vizinho	alma/indivíduo/alguém/pessoa/objeto
imposto	obrigação/taxa
montante	quantidade/número/soma
velocidade	ritmo/passo
praia	formação
tarefa	projeto/trabalho/dever/obrigação/ocupação/atividade
leitura	interpretação/publicação/informação/oratória/dado/datum/edição
reserva	contratação/subgrupo/conservação/pilha/preservação/grupo/montão/cúmulo/monte
ameaça	alarme/causador/asserção/declaração/aviso/perigo/risco
marco	referência
despesa	preço/custo
alemã	europeu
tecnologia	terreno/campo/disciplina/domínio/profissão/utilização/aplicação
som	ocorrência/evento/acontecimento/sensação
liderança	status/capacidade/handicap/atividade/ocupação/líder/chefe/posição/classe/condição/estado/talento/faculdade/habilidade/benefício/lucro/utilidade/vantagem
produtor	causa/creador/fazedor/criador
crédito	pagamento/obtenção/aprovação/aplauso/recompensa/débito/dívida/ativo/realização
colega	associado/camarada/parente/cara-metade/alma/indivíduo/alguém/pessoa/amigo/conhecido/amiga/amizade
património	possessão/propriedade
direita	facção/mão/posição/seita/local/lugar
julgamento	sentença/acção/ação/ato/feito
cabo	barra/toa/apêndice/terra/chão/solo/relevo/momento/instante/trinco/alça/elevação/corda
transferência	converter/transação/movimento
mensagem	comunicação/abstração
africano	alma/indivíduo/alguém/pessoa
emissão	estoque/fornecimento/abastecimento/espectáculo/show
músico	intérprete/artista
investigador	cientista
consumidor	comprador/alma/indivíduo/alguém/pessoa/usuário/utilizador/utente/cliente/freguês
etapa	travessia/viagem
protecção	capa/ocupação/atividade/fronha
geração	gente/fase/etapa/tempo/período/reprodução/procriação/povo/população
ocasião	oportunidade/ocorrência/evento/acontecimento/chance
festival	festividade/celebração/festa
militante	reformador/cruzado
média	estatística
absoluto	abstracção
